family,backend,keep_rate,n,accuracy,agree_with_ref,needle_retained_rate,accuracy_given_needle_retained,n_needle_retained,keep_rate_effective,scorer_ms,target_prompt_ms,net_ttft_ms,speedup_vs_full
niah_multi,last,0.1,9,0.4444444444444444,0.2222222222222222,0.4444444444444444,1.0,4,0.18153269117898374,478.96517626941204,5409.8351111111115,5888.8002873805235,5.50433372338177
niah_multi,random,0.5,9,0.7777777777777778,0.5555555555555556,0.7777777777777778,1.0,7,0.5696174104409414,474.83736069666014,18777.97266666667,19252.810027363328,1.7689368252464064
niah_multi,random,0.35,9,0.4444444444444444,0.3333333333333333,0.4444444444444444,1.0,4,0.4294291547391658,476.17980599817304,13818.741888888888,14294.921694887062,2.3502119141793827
niah_multi,random,0.25,9,0.3333333333333333,0.2222222222222222,0.3333333333333333,1.0,3,0.3336305197349702,473.42599566198055,10512.796666666669,10986.222662328648,3.018211844794343
niah_multi,random,0.15,9,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.6666666666666666,3,0.23803569535936486,474.25711310158175,7295.691555555556,7769.948668657137,4.2066884242272256
niah_multi,random,0.1,9,0.4444444444444444,0.3333333333333333,0.4444444444444444,1.0,4,0.1892307460565725,476.5083822939131,5664.556333333333,6141.064715627246,5.281873328830091
niah_multi,lexical,0.5,9,0.8888888888888888,0.5555555555555556,1.0,0.8888888888888888,9,0.5452016142257765,482.6812350915538,17992.376333333334,18475.057568424887,1.8399207386159928
niah_multi,lexical,0.35,9,1.0,0.7777777777777778,1.0,1.0,9,0.40857543821317543,480.93485614905757,13156.748333333333,13637.683189482392,2.4578535135577098
niah_multi,lexical,0.25,9,1.0,0.6666666666666666,1.0,1.0,9,0.31676135990569537,480.75199447986154,9974.653555555555,10455.405550035417,3.164781822361614
niah_multi,lexical,0.15,9,1.0,0.6666666666666666,1.0,1.0,9,0.2276244523756115,483.71037944323484,6927.919333333334,7411.629712776568,4.397854771082171
niah_multi,lexical,0.1,9,1.0,0.5555555555555556,1.0,1.0,9,0.18153568046243526,483.6451562328471,5407.267555555555,5890.912711788402,5.501889520199556
niah_multi,embed,0.5,9,0.7777777777777778,0.3333333333333333,1.0,0.7777777777777778,9,0.5677859722831022,750.6119239454468,18743.19977777778,19493.811701723225,1.7496901105772682
niah_multi,embed,0.35,9,0.8888888888888888,0.4444444444444444,1.0,0.8888888888888888,9,0.4297094015245329,744.9906961992383,13857.06,14602.050696199236,2.304465646949277
niah_multi,embed,0.25,9,1.0,0.4444444444444444,1.0,1.0,9,0.3346946395592928,750.6091566756368,10535.40711111111,11286.016267786747,2.9409244084449195
niah_multi,embed,0.15,9,0.8888888888888888,0.5555555555555556,1.0,0.8888888888888888,9,0.2377100651682712,745.9004204720259,7259.100000000001,8005.000420472027,4.086666499416788
niah_multi,embed,0.1,9,1.0,0.5555555555555556,1.0,1.0,9,0.18920040077606254,748.2864496608576,5633.892555555555,6382.179005216412,5.087510145315789
niah_multi,hybrid,0.5,9,0.7777777777777778,0.3333333333333333,1.0,0.7777777777777778,9,0.5677859722831022,750.4695178940892,18744.349666666665,19494.819184560754,1.7500065349110079
niah_multi,hybrid,0.35,9,0.8888888888888888,0.4444444444444444,1.0,0.8888888888888888,9,0.4297094015245329,748.3607284310791,13858.116333333333,14606.477061764412,2.3034187292682287
niah_multi,hybrid,0.25,9,1.0,0.4444444444444444,1.0,1.0,9,0.3346946395592928,751.2344168499112,10534.721444444445,11285.955861294357,2.940896813133564
niah_multi,hybrid,0.15,9,0.8888888888888888,0.5555555555555556,1.0,0.8888888888888888,9,0.2377100651682712,752.7869163701931,7257.927666666666,8010.714583036858,4.084101596206163
niah_multi,hybrid,0.1,9,1.0,0.5555555555555556,1.0,1.0,9,0.18920040077606254,750.4241479974654,5634.281111111111,6384.705259108578,5.085566355319664
niah_distractor,last,0.5,9,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,6,0.5473766023326481,478.6889645167523,18012.784444444445,18491.473408961196,1.836167295600326
niah_distractor,last,0.35,9,0.4444444444444444,0.4444444444444444,0.4444444444444444,1.0,4,0.4116680846464464,482.307346434229,13220.150888888887,13702.458235323116,2.440940228454133
niah_distractor,last,0.25,9,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,3,0.3211611662651545,478.2406378330456,10079.026666666667,10557.267304499712,3.1295385663021538
niah_distractor,last,0.15,9,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,3,0.23055779528954604,475.79060236199035,6988.095111111111,7463.8857134731015,4.364955929090383
niah_distractor,last,0.1,9,0.4444444444444444,0.4444444444444444,0.4444444444444444,1.0,4,0.1847761183090162,479.5769960102108,5477.808222222223,5957.3852182324335,5.437413531312681
niah_distractor,random,0.5,9,0.7777777777777778,0.7777777777777778,0.7777777777777778,1.0,7,0.572183908034987,474.2864269970192,18823.25288888889,19297.539315885908,1.7628529283088519
niah_distractor,random,0.35,9,0.7777777777777778,0.7777777777777778,0.7777777777777778,1.0,7,0.4322566842098064,481.52519814256163,13871.643888888888,14353.16908703145,2.3352281535309616
niah_distractor,random,0.25,9,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,6,0.3376032388903561,476.78891176150904,10593.817555555557,11070.606467317066,2.990319780847259
niah_distractor,random,0.15,9,0.5555555555555556,0.5555555555555556,0.5555555555555556,1.0,5,0.24150238571365934,477.588611551457,7366.649444444444,7844.238055995902,4.160730209985609
niah_distractor,random,0.1,9,0.5555555555555556,0.5555555555555556,0.5555555555555556,1.0,5,0.1922713583461365,479.5613745227456,5719.852,6199.4133745227455,5.228234699944704
niah_distractor,lexical,0.5,9,1.0,1.0,1.0,1.0,9,0.5469391512512938,482.07608579347533,18007.669,18489.745085793475,1.8366980774251838
niah_distractor,lexical,0.35,9,1.0,1.0,1.0,1.0,9,0.4098095795616574,481.5568904288941,13181.448777777778,13663.005668206672,2.4514543641736015
niah_distractor,lexical,0.25,9,1.0,1.0,1.0,1.0,9,0.3218473103770061,479.7094552260306,10088.669222222221,10568.37867744825,3.1242775648105536
niah_distractor,lexical,0.15,9,1.0,1.0,1.0,1.0,9,0.23061533835734702,484.17401427610054,6995.609666666667,7479.783680942766,4.354505587361456
niah_distractor,lexical,0.1,9,1.0,1.0,1.0,1.0,9,0.18476891770640985,482.7718748193648,5481.186666666667,5963.95854148603,5.431442935741131
niah_distractor,embed,0.5,9,1.0,1.0,1.0,1.0,9,0.5710479967727511,759.7796570302712,18814.278444444444,19574.058101474715,1.7393806505929768
niah_distractor,embed,0.35,9,1.0,1.0,1.0,1.0,9,0.4317373043351366,748.2382772076461,13874.752333333332,14622.990610540981,2.2960351553201446
niah_distractor,embed,0.25,9,1.0,1.0,1.0,1.0,9,0.3372808503494641,745.4532760505875,10601.464,11346.917276050584,2.923138540820608
niah_distractor,embed,0.15,9,1.0,0.8888888888888888,1.0,1.0,9,0.24103121233834837,750.5346136167645,7329.810666666667,8080.345280283432,4.043175951692702
